sample_accession	submission_accession	sample_description	sampling_platform	study_accession	sampling_site	marine_region	sample_title	country	location_end	location	location_start	isolation_source	depth
SAMN37005100	SRA1693725	Individual tree from provenance trial. Isolate indicates the specific tree of each of 100 populations		PRJNA1005581			Plant sample from Fagus sylvatica	Germany: Schaedtbek					
SAMN37005104	SRA1693725	Individual tree from provenance trial. Isolate indicates the specific tree of each of 100 populations		PRJNA1005581			Plant sample from Fagus sylvatica	Germany: Schaedtbek					
SAMN37005107	SRA1693725	Individual tree from provenance trial. Isolate indicates the specific tree of each of 100 populations		PRJNA1005581			Plant sample from Fagus sylvatica	Germany: Schaedtbek					
SAMN37005117	SRA1693725	Individual tree from provenance trial. Isolate indicates the specific tree of each of 100 populations		PRJNA1005581			Plant sample from Fagus sylvatica	Germany: Schaedtbek					
SAMN37005118	SRA1693725	Individual tree from provenance trial. Isolate indicates the specific tree of each of 100 populations		PRJNA1005581			Plant sample from Fagus sylvatica	Germany: Schaedtbek					
SAMN37005121	SRA1693725	Individual tree from provenance trial. Isolate indicates the specific tree of each of 100 populations		PRJNA1005581			Plant sample from Fagus sylvatica	Germany: Schaedtbek					
SAMN37005122	SRA1693725	Individual tree from provenance trial. Isolate indicates the specific tree of each of 100 populations		PRJNA1005581			Plant sample from Fagus sylvatica	Germany: Schaedtbek					
SAMN37005128	SRA1693725	Individual tree from provenance trial. Isolate indicates the specific tree of each of 100 populations		PRJNA1005581			Plant sample from Fagus sylvatica	Germany: Schaedtbek					
SAMN37005129	SRA1693725	Individual tree from provenance trial. Isolate indicates the specific tree of each of 100 populations		PRJNA1005581			Plant sample from Fagus sylvatica	Germany: Schaedtbek					
SAMN37005130	SRA1693725	Individual tree from provenance trial. Isolate indicates the specific tree of each of 100 populations		PRJNA1005581			Plant sample from Fagus sylvatica	Germany: Schaedtbek					
SAMN37005134	SRA1693725	Individual tree from provenance trial. Isolate indicates the specific tree of each of 100 populations		PRJNA1005581			Plant sample from Fagus sylvatica	Germany: Schaedtbek					
SAMN37005138	SRA1693725	Individual tree from provenance trial. Isolate indicates the specific tree of each of 100 populations		PRJNA1005581			Plant sample from Fagus sylvatica	Germany: Schaedtbek					
SAMN37005141	SRA1693725	Individual tree from provenance trial. Isolate indicates the specific tree of each of 100 populations		PRJNA1005581			Plant sample from Fagus sylvatica	Germany: Schaedtbek					
SAMN37005147	SRA1693725	Individual tree from provenance trial. Isolate indicates the specific tree of each of 100 populations		PRJNA1005581			Plant sample from Fagus sylvatica	Germany: Schaedtbek					
SAMN37005153	SRA1693725	Individual tree from provenance trial. Isolate indicates the specific tree of each of 100 populations		PRJNA1005581			Plant sample from Fagus sylvatica	Germany: Schaedtbek					
SAMN37005154	SRA1693725	Individual tree from provenance trial. Isolate indicates the specific tree of each of 100 populations		PRJNA1005581			Plant sample from Fagus sylvatica	Germany: Schaedtbek					
SAMN37005155	SRA1693725	Individual tree from provenance trial. Isolate indicates the specific tree of each of 100 populations		PRJNA1005581			Plant sample from Fagus sylvatica	Germany: Schaedtbek					
SAMN37005158	SRA1693725	Individual tree from provenance trial. Isolate indicates the specific tree of each of 100 populations		PRJNA1005581			Plant sample from Fagus sylvatica	Germany: Schaedtbek					
SAMN37005159	SRA1693725	Individual tree from provenance trial. Isolate indicates the specific tree of each of 100 populations		PRJNA1005581			Plant sample from Fagus sylvatica	Germany: Schaedtbek					
SAMN37005162	SRA1693725	Individual tree from provenance trial. Isolate indicates the specific tree of each of 100 populations		PRJNA1005581			Plant sample from Fagus sylvatica	Germany: Schaedtbek					
SAMN37005163	SRA1693725	Individual tree from provenance trial. Isolate indicates the specific tree of each of 100 populations		PRJNA1005581			Plant sample from Fagus sylvatica	Germany: Schaedtbek					
SAMN37005175	SRA1693725	Individual tree from provenance trial. Isolate indicates the specific tree of each of 100 populations		PRJNA1005581			Plant sample from Fagus sylvatica	Germany: Schaedtbek					
SAMN37005176	SRA1693725	Individual tree from provenance trial. Isolate indicates the specific tree of each of 100 populations		PRJNA1005581			Plant sample from Fagus sylvatica	Germany: Schaedtbek					
SAMN37005179	SRA1693725	Individual tree from provenance trial. Isolate indicates the specific tree of each of 100 populations		PRJNA1005581			Plant sample from Fagus sylvatica	Germany: Schaedtbek					
SAMN37005183	SRA1693725	Individual tree from provenance trial. Isolate indicates the specific tree of each of 100 populations		PRJNA1005581			Plant sample from Fagus sylvatica	Germany: Schaedtbek					
SAMN37005184	SRA1693725	Individual tree from provenance trial. Isolate indicates the specific tree of each of 100 populations		PRJNA1005581			Plant sample from Fagus sylvatica	Germany: Schaedtbek					
SAMN37005186	SRA1693725	Individual tree from provenance trial. Isolate indicates the specific tree of each of 100 populations		PRJNA1005581			Plant sample from Fagus sylvatica	Germany: Schaedtbek					
SAMN37005190	SRA1693725	Individual tree from provenance trial. Isolate indicates the specific tree of each of 100 populations		PRJNA1005581			Plant sample from Fagus sylvatica	Germany: Schaedtbek					
SAMN37005191	SRA1693725	Individual tree from provenance trial. Isolate indicates the specific tree of each of 100 populations		PRJNA1005581			Plant sample from Fagus sylvatica	Germany: Schaedtbek					
SAMN37005194	SRA1693725	Individual tree from provenance trial. Isolate indicates the specific tree of each of 100 populations		PRJNA1005581			Plant sample from Fagus sylvatica	Germany: Schaedtbek					
SAMN37005195	SRA1693725	Individual tree from provenance trial. Isolate indicates the specific tree of each of 100 populations		PRJNA1005581			Plant sample from Fagus sylvatica	Germany: Schaedtbek					
SAMN37005202	SRA1693725	Individual tree from provenance trial. Isolate indicates the specific tree of each of 100 populations		PRJNA1005581			Plant sample from Fagus sylvatica	Germany: Schaedtbek					
SAMN37005203	SRA1693725	Individual tree from provenance trial. Isolate indicates the specific tree of each of 100 populations		PRJNA1005581			Plant sample from Fagus sylvatica	Germany: Schaedtbek					
SAMN37005210	SRA1693725	Individual tree from provenance trial. Isolate indicates the specific tree of each of 100 populations		PRJNA1005581			Plant sample from Fagus sylvatica	Germany: Schaedtbek					
SAMN37005212	SRA1693725	Individual tree from provenance trial. Isolate indicates the specific tree of each of 100 populations		PRJNA1005581			Plant sample from Fagus sylvatica	Germany: Schaedtbek					
SAMN37005213	SRA1693725	Individual tree from provenance trial. Isolate indicates the specific tree of each of 100 populations		PRJNA1005581			Plant sample from Fagus sylvatica	Germany: Schaedtbek					
SAMN37005220	SRA1693725	Individual tree from provenance trial. Isolate indicates the specific tree of each of 100 populations		PRJNA1005581			Plant sample from Fagus sylvatica	Germany: Schaedtbek					
SAMN37005221	SRA1693725	Individual tree from provenance trial. Isolate indicates the specific tree of each of 100 populations		PRJNA1005581			Plant sample from Fagus sylvatica	Germany: Schaedtbek					
SAMN37005223	SRA1693725	Individual tree from provenance trial. Isolate indicates the specific tree of each of 100 populations		PRJNA1005581			Plant sample from Fagus sylvatica	Germany: Schaedtbek					
SAMN37005226	SRA1693725	Individual tree from provenance trial. Isolate indicates the specific tree of each of 100 populations		PRJNA1005581			Plant sample from Fagus sylvatica	Germany: Schaedtbek					
SAMN37005229	SRA1693725	Individual tree from provenance trial. Isolate indicates the specific tree of each of 100 populations		PRJNA1005581			Plant sample from Fagus sylvatica	Germany: Schaedtbek					
SAMN37005233	SRA1693725	Individual tree from provenance trial. Isolate indicates the specific tree of each of 100 populations		PRJNA1005581			Plant sample from Fagus sylvatica	Germany: Schaedtbek					
SAMN37005239	SRA1693725	Individual tree from provenance trial. Isolate indicates the specific tree of each of 100 populations		PRJNA1005581			Plant sample from Fagus sylvatica	Germany: Schaedtbek					
SAMN37005243	SRA1693725	Individual tree from provenance trial. Isolate indicates the specific tree of each of 100 populations		PRJNA1005581			Plant sample from Fagus sylvatica	Germany: Schaedtbek					
SAMN37005244	SRA1693725	Individual tree from provenance trial. Isolate indicates the specific tree of each of 100 populations		PRJNA1005581			Plant sample from Fagus sylvatica	Germany: Schaedtbek					
SAMN37005246	SRA1693725	Individual tree from provenance trial. Isolate indicates the specific tree of each of 100 populations		PRJNA1005581			Plant sample from Fagus sylvatica	Germany: Schaedtbek					
SAMN37005247	SRA1693725	Individual tree from provenance trial. Isolate indicates the specific tree of each of 100 populations		PRJNA1005581			Plant sample from Fagus sylvatica	Germany: Schaedtbek					
SAMN37005248	SRA1693725	Individual tree from provenance trial. Isolate indicates the specific tree of each of 100 populations		PRJNA1005581			Plant sample from Fagus sylvatica	Germany: Schaedtbek					
SAMN37005253	SRA1693725	Individual tree from provenance trial. Isolate indicates the specific tree of each of 100 populations		PRJNA1005581			Plant sample from Fagus sylvatica	Germany: Schaedtbek					
SAMN37005256	SRA1693725	Individual tree from provenance trial. Isolate indicates the specific tree of each of 100 populations		PRJNA1005581			Plant sample from Fagus sylvatica	Germany: Schaedtbek					
SAMN37005258	SRA1693725	Individual tree from provenance trial. Isolate indicates the specific tree of each of 100 populations		PRJNA1005581			Plant sample from Fagus sylvatica	Germany: Schaedtbek					
SAMN37005259	SRA1693725	Individual tree from provenance trial. Isolate indicates the specific tree of each of 100 populations		PRJNA1005581			Plant sample from Fagus sylvatica	Germany: Schaedtbek					
SAMN37005262	SRA1693725	Individual tree from provenance trial. Isolate indicates the specific tree of each of 100 populations		PRJNA1005581			Plant sample from Fagus sylvatica	Germany: Schaedtbek					
SAMN37005269	SRA1693725	Individual tree from provenance trial. Isolate indicates the specific tree of each of 100 populations		PRJNA1005581			Plant sample from Fagus sylvatica	Germany: Schaedtbek					
SAMN37005275	SRA1693725	Individual tree from provenance trial. Isolate indicates the specific tree of each of 100 populations		PRJNA1005581			Plant sample from Fagus sylvatica	Germany: Schaedtbek					
SAMN37005279	SRA1693725	Individual tree from provenance trial. Isolate indicates the specific tree of each of 100 populations		PRJNA1005581			Plant sample from Fagus sylvatica	Germany: Schaedtbek					
SAMN37005293	SRA1693725	Individual tree from provenance trial. Isolate indicates the specific tree of each of 100 populations		PRJNA1005581			Plant sample from Fagus sylvatica	Germany: Schaedtbek					
SAMN37005294	SRA1693725	Individual tree from provenance trial. Isolate indicates the specific tree of each of 100 populations		PRJNA1005581			Plant sample from Fagus sylvatica	Germany: Schaedtbek					
SAMN37005296	SRA1693725	Individual tree from provenance trial. Isolate indicates the specific tree of each of 100 populations		PRJNA1005581			Plant sample from Fagus sylvatica	Germany: Schaedtbek					
SAMN37005299	SRA1693725	Individual tree from provenance trial. Isolate indicates the specific tree of each of 100 populations		PRJNA1005581			Plant sample from Fagus sylvatica	Germany: Schaedtbek					
SAMN37005300	SRA1693725	Individual tree from provenance trial. Isolate indicates the specific tree of each of 100 populations		PRJNA1005581			Plant sample from Fagus sylvatica	Germany: Schaedtbek					
SAMN37005306	SRA1693725	Individual tree from provenance trial. Isolate indicates the specific tree of each of 100 populations		PRJNA1005581			Plant sample from Fagus sylvatica	Germany: Schaedtbek					
SAMN37005307	SRA1693725	Individual tree from provenance trial. Isolate indicates the specific tree of each of 100 populations		PRJNA1005581			Plant sample from Fagus sylvatica	Germany: Schaedtbek					
SAMN37005308	SRA1693725	Individual tree from provenance trial. Isolate indicates the specific tree of each of 100 populations		PRJNA1005581			Plant sample from Fagus sylvatica	Germany: Schaedtbek					
SAMN37005316	SRA1693725	Individual tree from provenance trial. Isolate indicates the specific tree of each of 100 populations		PRJNA1005581			Plant sample from Fagus sylvatica	Germany: Schaedtbek					
SAMN37005320	SRA1693725	Individual tree from provenance trial. Isolate indicates the specific tree of each of 100 populations		PRJNA1005581			Plant sample from Fagus sylvatica	Germany: Schaedtbek					
SAMN37005321	SRA1693725	Individual tree from provenance trial. Isolate indicates the specific tree of each of 100 populations		PRJNA1005581			Plant sample from Fagus sylvatica	Germany: Schaedtbek					
SAMN37005323	SRA1693725	Individual tree from provenance trial. Isolate indicates the specific tree of each of 100 populations		PRJNA1005581			Plant sample from Fagus sylvatica	Germany: Schaedtbek					
SAMN37005325	SRA1693725	Individual tree from provenance trial. Isolate indicates the specific tree of each of 100 populations		PRJNA1005581			Plant sample from Fagus sylvatica	Germany: Schaedtbek					
SAMN37005328	SRA1693725	Individual tree from provenance trial. Isolate indicates the specific tree of each of 100 populations		PRJNA1005581			Plant sample from Fagus sylvatica	Germany: Schaedtbek					
SAMN37005330	SRA1693725	Individual tree from provenance trial. Isolate indicates the specific tree of each of 100 populations		PRJNA1005581			Plant sample from Fagus sylvatica	Germany: Schaedtbek					
SAMN37005332	SRA1693725	Individual tree from provenance trial. Isolate indicates the specific tree of each of 100 populations		PRJNA1005581			Plant sample from Fagus sylvatica	Germany: Schaedtbek					
SAMN37005336	SRA1693725	Individual tree from provenance trial. Isolate indicates the specific tree of each of 100 populations		PRJNA1005581			Plant sample from Fagus sylvatica	Germany: Schaedtbek					
SAMN37005337	SRA1693725	Individual tree from provenance trial. Isolate indicates the specific tree of each of 100 populations		PRJNA1005581			Plant sample from Fagus sylvatica	Germany: Schaedtbek					
SAMN37005347	SRA1693725	Individual tree from provenance trial. Isolate indicates the specific tree of each of 100 populations		PRJNA1005581			Plant sample from Fagus sylvatica	Germany: Schaedtbek					
SAMN37005348	SRA1693725	Individual tree from provenance trial. Isolate indicates the specific tree of each of 100 populations		PRJNA1005581			Plant sample from Fagus sylvatica	Germany: Schaedtbek					
SAMN37005349	SRA1693725	Individual tree from provenance trial. Isolate indicates the specific tree of each of 100 populations		PRJNA1005581			Plant sample from Fagus sylvatica	Germany: Schaedtbek					
SAMN37005351	SRA1693725	Individual tree from provenance trial. Isolate indicates the specific tree of each of 100 populations		PRJNA1005581			Plant sample from Fagus sylvatica	Germany: Schaedtbek					
SAMN37005355	SRA1693725	Individual tree from provenance trial. Isolate indicates the specific tree of each of 100 populations		PRJNA1005581			Plant sample from Fagus sylvatica	Germany: Schaedtbek					
SAMN37005357	SRA1693725	Individual tree from provenance trial. Isolate indicates the specific tree of each of 100 populations		PRJNA1005581			Plant sample from Fagus sylvatica	Germany: Schaedtbek					
SAMN37005360	SRA1693725	Individual tree from provenance trial. Isolate indicates the specific tree of each of 100 populations		PRJNA1005581			Plant sample from Fagus sylvatica	Germany: Schaedtbek					
SAMN37005364	SRA1693725	Individual tree from provenance trial. Isolate indicates the specific tree of each of 100 populations		PRJNA1005581			Plant sample from Fagus sylvatica	Germany: Schaedtbek					
SAMN37005366	SRA1693725	Individual tree from provenance trial. Isolate indicates the specific tree of each of 100 populations		PRJNA1005581			Plant sample from Fagus sylvatica	Germany: Schaedtbek					
SAMN37005367	SRA1693725	Individual tree from provenance trial. Isolate indicates the specific tree of each of 100 populations		PRJNA1005581			Plant sample from Fagus sylvatica	Germany: Schaedtbek					
SAMN37005368	SRA1693725	Individual tree from provenance trial. Isolate indicates the specific tree of each of 100 populations		PRJNA1005581			Plant sample from Fagus sylvatica	Germany: Schaedtbek					
SAMN37005372	SRA1693725	Individual tree from provenance trial. Isolate indicates the specific tree of each of 100 populations		PRJNA1005581			Plant sample from Fagus sylvatica	Germany: Schaedtbek					
SAMN37005373	SRA1693725	Individual tree from provenance trial. Isolate indicates the specific tree of each of 100 populations		PRJNA1005581			Plant sample from Fagus sylvatica	Germany: Schaedtbek					
SAMN37005381	SRA1693725	Individual tree from provenance trial. Isolate indicates the specific tree of each of 100 populations		PRJNA1005581			Plant sample from Fagus sylvatica	Germany: Schaedtbek					
SAMN37005385	SRA1693725	Individual tree from provenance trial. Isolate indicates the specific tree of each of 100 populations		PRJNA1005581			Plant sample from Fagus sylvatica	Germany: Schaedtbek					
SAMN37005387	SRA1693725	Individual tree from provenance trial. Isolate indicates the specific tree of each of 100 populations		PRJNA1005581			Plant sample from Fagus sylvatica	Germany: Schaedtbek					
SAMN37005399	SRA1693725	Individual tree from provenance trial. Isolate indicates the specific tree of each of 100 populations		PRJNA1005581			Plant sample from Fagus sylvatica	Germany: Schaedtbek					
SAMN37005405	SRA1693725	Individual tree from provenance trial. Isolate indicates the specific tree of each of 100 populations		PRJNA1005581			Plant sample from Fagus sylvatica	Germany: Schaedtbek					
SAMN37005409	SRA1693725	Individual tree from provenance trial. Isolate indicates the specific tree of each of 100 populations		PRJNA1005581			Plant sample from Fagus sylvatica	Germany: Schaedtbek					
SAMN37005414	SRA1693725	Individual tree from provenance trial. Isolate indicates the specific tree of each of 100 populations		PRJNA1005581			Plant sample from Fagus sylvatica	Germany: Schaedtbek					
SAMN37005415	SRA1693725	Individual tree from provenance trial. Isolate indicates the specific tree of each of 100 populations		PRJNA1005581			Plant sample from Fagus sylvatica	Germany: Schaedtbek					
SAMN37005417	SRA1693725	Individual tree from provenance trial. Isolate indicates the specific tree of each of 100 populations		PRJNA1005581			Plant sample from Fagus sylvatica	Germany: Schaedtbek					
SAMN37005418	SRA1693725	Individual tree from provenance trial. Isolate indicates the specific tree of each of 100 populations		PRJNA1005581			Plant sample from Fagus sylvatica	Germany: Schaedtbek					
SAMN37005421	SRA1693725	Individual tree from provenance trial. Isolate indicates the specific tree of each of 100 populations		PRJNA1005581			Plant sample from Fagus sylvatica	Germany: Schaedtbek					
SAMN37005426	SRA1693725	Individual tree from provenance trial. Isolate indicates the specific tree of each of 100 populations		PRJNA1005581			Plant sample from Fagus sylvatica	Germany: Schaedtbek					
SAMN37005432	SRA1693725	Individual tree from provenance trial. Isolate indicates the specific tree of each of 100 populations		PRJNA1005581			Plant sample from Fagus sylvatica	Germany: Schaedtbek					
SAMN37005435	SRA1693725	Individual tree from provenance trial. Isolate indicates the specific tree of each of 100 populations		PRJNA1005581			Plant sample from Fagus sylvatica	Germany: Schaedtbek					
SAMN37005436	SRA1693725	Individual tree from provenance trial. Isolate indicates the specific tree of each of 100 populations		PRJNA1005581			Plant sample from Fagus sylvatica	Germany: Schaedtbek					
SAMN37005437	SRA1693725	Individual tree from provenance trial. Isolate indicates the specific tree of each of 100 populations		PRJNA1005581			Plant sample from Fagus sylvatica	Germany: Schaedtbek					
SAMN37005439	SRA1693725	Individual tree from provenance trial. Isolate indicates the specific tree of each of 100 populations		PRJNA1005581			Plant sample from Fagus sylvatica	Germany: Schaedtbek					
SAMN37005441	SRA1693725	Individual tree from provenance trial. Isolate indicates the specific tree of each of 100 populations		PRJNA1005581			Plant sample from Fagus sylvatica	Germany: Schaedtbek					
SAMN37005442	SRA1693725	Individual tree from provenance trial. Isolate indicates the specific tree of each of 100 populations		PRJNA1005581			Plant sample from Fagus sylvatica	Germany: Schaedtbek					
SAMN37005447	SRA1693725	Individual tree from provenance trial. Isolate indicates the specific tree of each of 100 populations		PRJNA1005581			Plant sample from Fagus sylvatica	Germany: Schaedtbek					
SAMN37005449	SRA1693725	Individual tree from provenance trial. Isolate indicates the specific tree of each of 100 populations		PRJNA1005581			Plant sample from Fagus sylvatica	Germany: Schaedtbek					
SAMN37005458	SRA1693725	Individual tree from provenance trial. Isolate indicates the specific tree of each of 100 populations		PRJNA1005581			Plant sample from Fagus sylvatica	Germany: Schaedtbek					
SAMN37005459	SRA1693725	Individual tree from provenance trial. Isolate indicates the specific tree of each of 100 populations		PRJNA1005581			Plant sample from Fagus sylvatica	Germany: Schaedtbek					
SAMN37005460	SRA1693725	Individual tree from provenance trial. Isolate indicates the specific tree of each of 100 populations		PRJNA1005581			Plant sample from Fagus sylvatica	Germany: Schaedtbek					
SAMN37005463	SRA1693725	Individual tree from provenance trial. Isolate indicates the specific tree of each of 100 populations		PRJNA1005581			Plant sample from Fagus sylvatica	Germany: Schaedtbek					
SAMN37005466	SRA1693725	Individual tree from provenance trial. Isolate indicates the specific tree of each of 100 populations		PRJNA1005581			Plant sample from Fagus sylvatica	Germany: Schaedtbek					
SAMN37005467	SRA1693725	Individual tree from provenance trial. Isolate indicates the specific tree of each of 100 populations		PRJNA1005581			Plant sample from Fagus sylvatica	Germany: Schaedtbek					
SAMN37005469	SRA1693725	Individual tree from provenance trial. Isolate indicates the specific tree of each of 100 populations		PRJNA1005581			Plant sample from Fagus sylvatica	Germany: Schaedtbek					
SAMN37005470	SRA1693725	Individual tree from provenance trial. Isolate indicates the specific tree of each of 100 populations		PRJNA1005581			Plant sample from Fagus sylvatica	Germany: Schaedtbek					
SAMN37005471	SRA1693725	Individual tree from provenance trial. Isolate indicates the specific tree of each of 100 populations		PRJNA1005581			Plant sample from Fagus sylvatica	Germany: Schaedtbek					
SAMN37005472	SRA1693725	Individual tree from provenance trial. Isolate indicates the specific tree of each of 100 populations		PRJNA1005581			Plant sample from Fagus sylvatica	Germany: Schaedtbek					
SAMN37005474	SRA1693725	Individual tree from provenance trial. Isolate indicates the specific tree of each of 100 populations		PRJNA1005581			Plant sample from Fagus sylvatica	Germany: Schaedtbek					
SAMN37005475	SRA1693725	Individual tree from provenance trial. Isolate indicates the specific tree of each of 100 populations		PRJNA1005581			Plant sample from Fagus sylvatica	Germany: Schaedtbek					
SAMN37005477	SRA1693725	Individual tree from provenance trial. Isolate indicates the specific tree of each of 100 populations		PRJNA1005581			Plant sample from Fagus sylvatica	Germany: Schaedtbek					
SAMN37005478	SRA1693725	Individual tree from provenance trial. Isolate indicates the specific tree of each of 100 populations		PRJNA1005581			Plant sample from Fagus sylvatica	Germany: Schaedtbek					
SAMN37005487	SRA1693725	Individual tree from provenance trial. Isolate indicates the specific tree of each of 100 populations		PRJNA1005581			Plant sample from Fagus sylvatica	Germany: Schaedtbek					
SAMN37005489	SRA1693725	Individual tree from provenance trial. Isolate indicates the specific tree of each of 100 populations		PRJNA1005581			Plant sample from Fagus sylvatica	Germany: Schaedtbek					
SAMN37005493	SRA1693725	Individual tree from provenance trial. Isolate indicates the specific tree of each of 100 populations		PRJNA1005581			Plant sample from Fagus sylvatica	Germany: Schaedtbek					
SAMN37005496	SRA1693725	Individual tree from provenance trial. Isolate indicates the specific tree of each of 100 populations		PRJNA1005581			Plant sample from Fagus sylvatica	Germany: Schaedtbek					
SAMN37005498	SRA1693725	Individual tree from provenance trial. Isolate indicates the specific tree of each of 100 populations		PRJNA1005581			Plant sample from Fagus sylvatica	Germany: Schaedtbek					
SAMN37005503	SRA1693725	Individual tree from provenance trial. Isolate indicates the specific tree of each of 100 populations		PRJNA1005581			Plant sample from Fagus sylvatica	Germany: Schaedtbek					
SAMN37005506	SRA1693725	Individual tree from provenance trial. Isolate indicates the specific tree of each of 100 populations		PRJNA1005581			Plant sample from Fagus sylvatica	Germany: Schaedtbek					
SAMN37005509	SRA1693725	Individual tree from provenance trial. Isolate indicates the specific tree of each of 100 populations		PRJNA1005581			Plant sample from Fagus sylvatica	Germany: Schaedtbek					
SAMN37005510	SRA1693725	Individual tree from provenance trial. Isolate indicates the specific tree of each of 100 populations		PRJNA1005581			Plant sample from Fagus sylvatica	Germany: Schaedtbek					
SAMN37005514	SRA1693725	Individual tree from provenance trial. Isolate indicates the specific tree of each of 100 populations		PRJNA1005581			Plant sample from Fagus sylvatica	Germany: Schaedtbek					
SAMN37005520	SRA1693725	Individual tree from provenance trial. Isolate indicates the specific tree of each of 100 populations		PRJNA1005581			Plant sample from Fagus sylvatica	Germany: Schaedtbek					
SAMN37005521	SRA1693725	Individual tree from provenance trial. Isolate indicates the specific tree of each of 100 populations		PRJNA1005581			Plant sample from Fagus sylvatica	Germany: Schaedtbek					
SAMN37005523	SRA1693725	Individual tree from provenance trial. Isolate indicates the specific tree of each of 100 populations		PRJNA1005581			Plant sample from Fagus sylvatica	Germany: Schaedtbek					
SAMN37005526	SRA1693725	Individual tree from provenance trial. Isolate indicates the specific tree of each of 100 populations		PRJNA1005581			Plant sample from Fagus sylvatica	Germany: Schaedtbek					
SAMN37005527	SRA1693725	Individual tree from provenance trial. Isolate indicates the specific tree of each of 100 populations		PRJNA1005581			Plant sample from Fagus sylvatica	Germany: Schaedtbek					
SAMN37005531	SRA1693725	Individual tree from provenance trial. Isolate indicates the specific tree of each of 100 populations		PRJNA1005581			Plant sample from Fagus sylvatica	Germany: Schaedtbek					
SAMN37005535	SRA1693725	Individual tree from provenance trial. Isolate indicates the specific tree of each of 100 populations		PRJNA1005581			Plant sample from Fagus sylvatica	Germany: Schaedtbek					
SAMN37005537	SRA1693725	Individual tree from provenance trial. Isolate indicates the specific tree of each of 100 populations		PRJNA1005581			Plant sample from Fagus sylvatica	Germany: Schaedtbek					
SAMN37005539	SRA1693725	Individual tree from provenance trial. Isolate indicates the specific tree of each of 100 populations		PRJNA1005581			Plant sample from Fagus sylvatica	Germany: Schaedtbek					
SAMN37005541	SRA1693725	Individual tree from provenance trial. Isolate indicates the specific tree of each of 100 populations		PRJNA1005581			Plant sample from Fagus sylvatica	Germany: Schaedtbek					
SAMN37005547	SRA1693725	Individual tree from provenance trial. Isolate indicates the specific tree of each of 100 populations		PRJNA1005581			Plant sample from Fagus sylvatica	Germany: Schaedtbek					
SAMN37005553	SRA1693725	Individual tree from provenance trial. Isolate indicates the specific tree of each of 100 populations		PRJNA1005581			Plant sample from Fagus sylvatica	Germany: Schaedtbek					
SAMN37005555	SRA1693725	Individual tree from provenance trial. Isolate indicates the specific tree of each of 100 populations		PRJNA1005581			Plant sample from Fagus sylvatica	Germany: Schaedtbek					
SAMN37005556	SRA1693725	Individual tree from provenance trial. Isolate indicates the specific tree of each of 100 populations		PRJNA1005581			Plant sample from Fagus sylvatica	Germany: Schaedtbek					
SAMN37005558	SRA1693725	Individual tree from provenance trial. Isolate indicates the specific tree of each of 100 populations		PRJNA1005581			Plant sample from Fagus sylvatica	Germany: Schaedtbek					
SAMN37005559	SRA1693725	Individual tree from provenance trial. Isolate indicates the specific tree of each of 100 populations		PRJNA1005581			Plant sample from Fagus sylvatica	Germany: Schaedtbek					
SAMN37005561	SRA1693725	Individual tree from provenance trial. Isolate indicates the specific tree of each of 100 populations		PRJNA1005581			Plant sample from Fagus sylvatica	Germany: Schaedtbek					
SAMN37005565	SRA1693725	Individual tree from provenance trial. Isolate indicates the specific tree of each of 100 populations		PRJNA1005581			Plant sample from Fagus sylvatica	Germany: Schaedtbek					
SAMN37005567	SRA1693725	Individual tree from provenance trial. Isolate indicates the specific tree of each of 100 populations		PRJNA1005581			Plant sample from Fagus sylvatica	Germany: Schaedtbek					
SAMN37005568	SRA1693725	Individual tree from provenance trial. Isolate indicates the specific tree of each of 100 populations		PRJNA1005581			Plant sample from Fagus sylvatica	Germany: Schaedtbek					
SAMN37005576	SRA1693725	Individual tree from provenance trial. Isolate indicates the specific tree of each of 100 populations		PRJNA1005581			Plant sample from Fagus sylvatica	Germany: Schaedtbek					
SAMN37005578	SRA1693725	Individual tree from provenance trial. Isolate indicates the specific tree of each of 100 populations		PRJNA1005581			Plant sample from Fagus sylvatica	Germany: Schaedtbek					
SAMN37005579	SRA1693725	Individual tree from provenance trial. Isolate indicates the specific tree of each of 100 populations		PRJNA1005581			Plant sample from Fagus sylvatica	Germany: Schaedtbek					
SAMN37005585	SRA1693725	Individual tree from provenance trial. Isolate indicates the specific tree of each of 100 populations		PRJNA1005581			Plant sample from Fagus sylvatica	Germany: Schaedtbek					
SAMN37005589	SRA1693725	Individual tree from provenance trial. Isolate indicates the specific tree of each of 100 populations		PRJNA1005581			Plant sample from Fagus sylvatica	Germany: Schaedtbek					
SAMN37005590	SRA1693725	Individual tree from provenance trial. Isolate indicates the specific tree of each of 100 populations		PRJNA1005581			Plant sample from Fagus sylvatica	Germany: Schaedtbek					
SAMN37005600	SRA1693725	Individual tree from provenance trial. Isolate indicates the specific tree of each of 100 populations		PRJNA1005581			Plant sample from Fagus sylvatica	Germany: Schaedtbek					
SAMN37005601	SRA1693725	Individual tree from provenance trial. Isolate indicates the specific tree of each of 100 populations		PRJNA1005581			Plant sample from Fagus sylvatica	Germany: Schaedtbek					
SAMN37005604	SRA1693725	Individual tree from provenance trial. Isolate indicates the specific tree of each of 100 populations		PRJNA1005581			Plant sample from Fagus sylvatica	Germany: Schaedtbek					
SAMN37005608	SRA1693725	Individual tree from provenance trial. Isolate indicates the specific tree of each of 100 populations		PRJNA1005581			Plant sample from Fagus sylvatica	Germany: Schaedtbek					
